adjustment_cycle,old_budget,new_budget,surplus_rate,adjustment_rate,reason
0,682472.1483406146,591346.0428114443,0.49507850735856607,-0.1335235522075698,结余过多，预防性削减预算
1,591346.0428114443,475864.4839512789,0.7009530827394502,-0.19528592482183504,结余过多，预防性削减预算
2,475864.4839512789,392344.08965478354,0.6350432711640552,-0.17551298134921656,结余过多，预防性削减预算
3,392344.08965478354,331849.4429334644,0.5639591183387628,-0.15418773550162881,结余过多，预防性削减预算
4,331849.4429334644,287035.95990695,0.5001386997506525,-0.13504160992519576,结余过多，预防性削减预算
5,287035.95990695,257432.30455302223,0.39378567483930765,-0.1031357024517923,结余过多，预防性削减预算
6,257432.30455302223,233826.29726187952,0.3556597388082232,-0.09169792164246697,结余过多，预防性削减预算
7,233826.29726187952,218169.6901109836,0.2731942733307557,-0.06695828199922671,结余过多，预防性削减预算
8,218169.6901109836,206714.6078620622,0.22501792974533025,-0.05250537892359908,结余过多，预防性削减预算
9,206714.6078620622,198772.40505297712,0.17807033638030426,-0.03842110091409127,结余过多，预防性削减预算
